player_id,full_name,position,nationality,shirt_number,team,matches_played,goals_scored,avg_minutes,starts
636,Jenson Seelt,Defender,,,Sunderland,0,0,0.0,0
637,Brian Brobbey,Forward,,,Sunderland,0,0,0.0,0
638,Patrick Roberts,Midfielder,ENG,,Sunderland,0,0,0.0,0
639,Marc Guiu,Forward,,,Chelsea,0,0,0.0,0
640,Dan Neil,Midfielder,ENG,,Sunderland,0,0,0.0,0
641,Harrison Jones,Midfielder,ENG,,Sunderland,0,0,0.0,0
642,Luke O'Nien,Defender,ENG,,Sunderland,0,0,0.0,0
643,Anthony Patterson,Goalkeeper,ENG,,Sunderland,0,0,0.0,0
644,Đorđe Petrović,Goalkeeper,,,Bournemouth,0,0,0.0,0
645,Adrien Truffert,Defender,,,Bournemouth,0,0,0.0,0
647,Marcos Senesi,Defender,,,Bournemouth,0,0,0.0,0
648,Tyler Adams,Midfielder,,,Bournemouth,0,0,0.0,0
649,Marcus Tavernier,Midfielder,ENG,,Bournemouth,0,0,0.0,0
650,Alex Scott,Midfielder,ENG,,Bournemouth,0,0,0.0,0
651,Bafodé Diakité,Defender,,,Bournemouth,0,0,0.0,0
652,Evanilson,Forward,,,Bournemouth,0,0,0.0,0
653,David Brooks,Forward,WLS,,Bournemouth,0,0,0.0,0
654,Álex Jiménez,Defender,,,Bournemouth,0,0,0.0,0
655,Justin Kluivert,Midfielder,,,Bournemouth,0,0,0.0,0
656,Eli Junior Kroupi,Forward,,,Bournemouth,0,0,0.0,0
657,Adam Smith,Defender,ENG,,Bournemouth,0,0,0.0,0
658,James Hill,Defender,ENG,,Bournemouth,0,0,0.0,0
659,Veljko Milosavljević,Defender,,,Bournemouth,0,0,0.0,0
660,Ryan Christie,Midfielder,SCT,,Bournemouth,0,0,0.0,0
661,Amine Adli,Forward,,,Bournemouth,0,0,0.0,0
662,Ben Gannon-Doak,Forward,SCT,,Bournemouth,0,0,0.0,0
663,Lewis Cook,Defender,ENG,,Bournemouth,0,0,0.0,0
664,Hamed Junior Traorè,Midfielder,,,Bournemouth,0,0,0.0,0
665,Ben Winterburn,Midfielder,ENG,,Bournemouth,0,0,0.0,0
666,Julio Soler,Forward,,,Bournemouth,0,0,0.0,0
667,Enes Ünal,Forward,,,Bournemouth,0,0,0.0,0
668,Julian Araujo,Defender,,,Bournemouth,0,0,0.0,0
669,Philip Billing,Midfielder,,,Bournemouth,0,0,0.0,0
670,Will Dennis,Goalkeeper,ENG,,Bournemouth,0,0,0.0,0
671,Romain Faivre,Forward,,,Bournemouth,0,0,0.0,0
672,Remy Rees-Dottin,Forward,ENG,,Bournemouth,0,0,0.0,0
673,Guglielmo Vicario,Goalkeeper,,,Tottenham,0,0,0.0,0
674,Micky van de Ven,Defender,,,Tottenham,0,0,0.0,0
675,Mohammed Kudus,Forward,,,Tottenham,0,0,0.0,0
676,Pedro Porro,Defender,,,Tottenham,0,0,0.0,0
677,João Palhinha,Midfielder,,,Tottenham,0,0,0.0,0
678,Djed Spence,Defender,ENG,,Tottenham,0,0,0.0,0
679,Rodrigo Bentancur,Midfielder,,,Tottenham,0,0,0.0,0
680,Cristian Romero,Defender,,,Tottenham,0,0,0.0,0
682,Pape Matar Sarr,Midfielder,,,Tottenham,0,0,0.0,0
683,Xavi Simons,Forward,,,Tottenham,0,0,0.0,0
684,Lucas Bergvall,Midfielder,,,Tottenham,0,0,0.0,0
686,Wilson Odobert,Forward,,,Tottenham,0,0,0.0,0
